GENERO,DESCRICAO
LACTICINIO,MANTEIGA ITACOLOMI POTE 500G CX 15
PRODUTO DE LIMPEZA,VANISH EM PO PODER O2 450G WHITE POT PT
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD DESENHO TILIBRA CD S/S JOLIE 4X96FL
DOCE E SOBREMESA,BOLO VO DEDE ECON LARANJA 500G
PARTE E PECA PARA VEICULO,FILTRO AR GOL GV/FOX/POLO 1.6 08 TOTAL FLEX - ART6098 - 0,00% PC
VERDURA E LEGUME,COUVE MANTEIGA UN
SUCO,BEBIDA MISTA ISIS ZERO 1000 ML F/CITRICAS
GENERICO,GEN LEVOFLOXACINO 500MG 10 C 103
CORPO,DES DOVE ROLL-ON SPERF 50ML 102
PRODUTO DE LIMPEZA,AGUA SANITARIA 1L ECON.
MATERIAL PARA CONSTRUCAO,COLA CONTATO AMAZONAS 12X75G EE
LACTICINIO,ICELIPS NAPOLITANO PT2L C4UN 4KG CX
ALIMENTO CONDIMENTADO,FERMENTO FRESCO MAURI 500GR
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA COMPACTOR MICROLINE AZUL C/12UN
MASSA PRONTA,MASSA PARA PASTEL TRIGTALY KG
GENERICO,GEN IVERMECTINA 6MG 4 COMP - 105 CX
BOMBONIERE,CHICLE DANNY BALL TUTTI FRUTTI 18 UND CXT
PRODUTO DE HIGIENE,ED CONDOR MEDIC MD R.3252-1 1UN C/CP
LEITE,B-SOYLAIT ORIGINAL 300G CX.C/6UND CX
MATERIAL PARA CONSTRUCAO,ROLO DE LA ANTI-GOTA 321/10 - 23CM
MATERIAL PARA ESCRITORIO E ESCOLAR,ENVELOPE SACO OURO SCRITY 20X28 C/100UN CX
SIMILAR,NOVANLO 5MG 30CPR BIOL CX
UTENSILIO DE LIMPEZA,CESTO PARA LIXO
SIMILAR,ETNA 20 CAPS 105 CX
ALIMENTO EM CONSERVA,ERVILHA QUERO LT 2KG
CORPO,#DES.NIVEA AER.FEM.STRS PRO.15 CD
PERFUMARIA,ESSENCIA LIMAO SPREE HS 250ML CITRATUS 9207HS
REFERENCIA,AZOPT SUS OFT 5ML 103 FR
UTENSILIO PARA O LAR,RALADOR 4 FACES
PRODUTO DESCARTAVEL,COPO MARATA PLASTICO 200ML PCT 1X100UND
ELETROPORTATEIS,MULTI GRILL BRITANIA INOX 220V CD
CHA,CHA FEEL GOOD VERDE 330ML CX 6
GENERICO,ESPIRONOLACTONA 25MG CPR 1X30 EUR-GENERICO CX
GENERICO,GEN TIOCONAZOL+TINIDAZOL CRM 101 BG
TEMPERO,VINAGRE ALCOOL LORD 500ML CX 12
SIMILAR,FLUIBRON GTS 50ML FR
PRODUTO FARMACEUTICO,AGUA OXIG CREM LIGHT 40VOL 1 101
CORPO,GEL DEMOLIDOR DE MASSAGENS- 200G
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA ESFEROGRAFICA BIC CX
MATERIAL ELETRICO,DISJUNTOR MON.5SX1-125-7 SIEMENS C-25A
SIMILAR,RUSOVAS 10MG 30 COMP 101 CX
VERDURA E LEGUME,BROCOLIS BONDUELLE CONG 300G
SIMILAR,COLIRIO NEO BRASIL 20ML 103 FR
SIMILAR,VASLIP 10MG CPD/30 CX
SIMILAR,TARGIFOR C INF CPD16 CX
PECA INTIMA,SUTIA MEIA-TACA SUPER COMFORT PRETO 46.EAN :7898540767339
ELETROPORTATEIS,ASPIRADOR PO E AGUA
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA HD. NEO PEN MIRIM COMP C/06CORES
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA COMPACTOR MICROLINE 0.4MM AZUL
ACESSORIO DE INFORMATICA,REFIL TINTA AZ 6.5M T664220 AL EPSON
BOMBONIERE,SALG SALSITO CEBOLA 32G CX 50
LACTICINIO,MANTEIGA DA TERRA 180G
CABELO,SHP J&J BABY 750ML JOHN CX
ESPECIARIA,CAST. DO PARA EXCEL 180G
PRODUTO DE LIMPEZA,DESINFETANTE FLORAL 2 LTS GF
VERDURA E LEGUME,CHUCHU UND
BOMBONIERE,DROPS HALLS 21X34G MENTA PRATA CXT CT
MATERIAL PARA CONSTRUCAO,LUVA SOLD PVC 25MM TIGRE PC
MACARRAO,NISSIN LAMEN - BACON 85 GRS CXA.C/50X1 UND 7891079000250 CXA
ACESSORIO PARA BELEZA,LENCO RICCA REM OLEOSIDAD 3716
CORPO,ASEPXIA SAB ENXOFRE 90G (GENOMMA LAB.)
CARNE DE AVE ,PPL PEITO FRANGO RESF CX15KG CX
LIVRO,CJ-PORTA ABERTA MATEMATICA 3OANO
MATERIAL PARA CONSTRUCAO,LAVATORIO 455X360MM RAVENA/IZY-BRANCO
PRODUTO FARMACEUTICO,LOCAO JEJ BABY ANTIMOSQUITO 103 FR
MISTURA PRONTA,FARINHA LACTEA NESTLE 400G CX24
SIMILAR,TECTA 40MG CPD/30
SIMILAR,SAL FRUTA ENO FRUTA SORTIDA TABS48|EMB: 6 CX
UTENSILIO DE LIMPEZA,ESCOVA BETTANIN BETTA JEANS
LACTICINIO,CR RICOTA LIGHT REGINA 250G
BOMBONIERE,BALA MENTOS YOGURT C/14
GENERICO,NIMODIPINO 30MG 2BLT X 15COMP REV-LG (E M S) CX
UNHAS,ESM COLORAMA 2X1 8ML GAR.VERAO CE
PECA INTIMA,SUTIA TOMARA-QUE CAIA UNIVERSAL -TACA B CAMURCA 44B.EAN :7899558824342
PRODUTO FARMACEUTICO,LENC KLEENEX C/50 NOVO CX
PRODUTO DE LIMPEZA,SABAO OMO MULTIACAO 20X1KG CXA
INFORMATICA,C.T. 60 CL CC643WB HP PC
MATERIAL PARA CONSTRUCAO,JOELHO 90 DE 75 MM TIGRE
SIMILAR,HIDRALYTE TUTTI - FRUTTI 500ML (NATUL) CX
SIMILAR,NEO HIDROCLOR 50MG CPD C20 CX
CABELO,ELSEVE CO 400ML R.TOTAL 5
CORPO,SB PHEBO HID 100G LIMAO DZ
ALIMENTO PRONTO,M PIZZA DELICIA MINEIRA CALAB 400G PCT
TIPO DE GRAO,SEMENTE DE LINHACA DOURADA 200 GR
MATERIAL PARA ESCRITORIO E ESCOLAR,PINCEL PILOT ATOMICO 1100P AZUL C/12UN
CARNE BOVINA,CARNE BOV S/OSSO CRY-LAGARTO/FRIGOTIL KG
BOMBONIERE,MENTOS SM STICK PACK 114GR FRUT VERM 3X38G PCT
PREPARACAO DE CARNE,MORTADELA FRANGO GRD. KG
PRODUTO HOSPITALAR,AGUA DEIONIZADA 1000ML
REFERENCIA,TEGRETOL CR 400MG 60 COMP-C1 101 CX
REFERENCIA,GRACIAL 22 COMP 101 CX
PRODUTO FARMACEUTICO,CR ASSAD T.XUXINHA 45G L3P2 AM CJ
PECA INTIMA,MACAQUINHO MANGA LONGA ERIS M.EAN :7899726934408
AGUA,AGUA MINERAL INDAIA 20 LTS
UTENSILIO PARA O LAR,CORDA DE VARAL SEK 15M UNID 3215
PRODUTO DE LIMPEZA,SABAO YPE GLICERINADO ALOE VERA 5X200G CX 10
AGUA,GELO ICE SUPER GELO 3KG
BISCOITO,BISC AMANT BAUDUCCO LEITE 335G 1
ACESSORIO PARA BELEZA,ESC CAB M BONI DOBRAVEL ESTAMP 8025
PRODUTO FARMACEUTICO,PASTA DAGUA C/120GRS (FARMA) CX
LEITE,LEITE PO NAN 1 COMFOR 400G
REFRIGERANTE,REFG. MAIS SABOR GD UVA 6X2LT FD
GENERICO,+ ALOPURINOL 300MG 30 CPS / GEN ALOPURINOL CT
PRODUTO DE LIMPEZA,SABAO YPE NEUTRO 5X200GR
BISCOITO,BISC TEENS CHOC MARILAN 110G 1
GENERICO,CL PAROXETINA 20MG CP20 GNEM PC1
CABELO,DEFRIZANTE RAVOR OLEO ARGAN 400G
UTENSILIO PARA BEBE,FIONA BICO NAT SILIC C/2 8381
BISCOITO,BISC AGUA SAL RICHEST SUPERIOR 400G 1
REFERENCIA,RITALINA LA 20MG CP/30 P/A3
SIMILAR,FERRONIL (SULF.FERROSO) 40MG 50COMP
PRODUTO PARA ANIMAL,SINGESTAR INJ.1ML
PRODUTO DE LIMPEZA,SAPONACEO CREM 3EM1LAVAN MR MUSCULO200ML
CORPO,DA BIO FEM CLARIFY 150ML
MEDICAMENTO NAO CLASSIFICADO,DORMEC INF 200 CP (ACIDO ACETILSALI)
GENERICO,GEN DONEPEZILA 10MG 30 COMP- 101 CX
TENIS,TENIS SLIP CANVAS PRETO 36 PR
ACUCAR,ACUCAR PRECIOSO DEMERARA 1KG
PRODUTO DESCARTAVEL,SACO DE LIXO 15 LTS
REFERENCIA,DIMORF 1MG/ML- INJ-50EST X 1AMP X 2ML (A1) (CRIST) (A1) CX
PRODUTO DE LIMPEZA,DESINFETANTE URCA LAVANDA 2L
BOMBONIERE,CHOC CHOCOSOY DIET 25G CX
REFERENCIA,MERTHIOLATE INCOLOR 30ML LP:N
PRODUTO DE LIMPEZA,ODORIZANTE BREEZE 6,5G AMORE UND
SIMILAR,FEMINA 63CPR ACHE CX
CABELO,#CONDIC.PALM.ILUMIN.PRET.350ML CD
CORPO,DR BI-O 48H FEM 50ML INV.BLAC
REFERENCIA,ZOMIG OD 25MG CPD2
CORPO,SAB NIVEA HIDRA CAMOMILA 90G 1
PRODUTO DE HIGIENE,CR.DENT.SORRISO S.RE.12X50G PT
REFERENCIA,BUSCOPAN COMPOSTO GTS 20ML 105 FR
SIMILAR,LEUCOGEN XPE 120ML ACHE FR
LACTICINIO,LEITE FERM CORPUS BREAK AMEIXA 170G
PARTE E PECA PARA VEICULO,AMORTECEDOR CR22537M PC
CORPO,SAB POM POM LOCAO HIDRATANTE 102
CORPO,LIPIKAR SURGRAS SAB 80G 101
SIMILAR,NOEX 50MCG 200 DS 105 CX
PRODUTO DE LIMPEZA,DET.LIQ.YPE 500ML LIMAO
SANDALIA,CHINELO-04343-28 PAR
CERVEJA,CERV SKOL ULTRA LONG NECK 275ML 1
REFERENCIA,CEBRILIN 20MG 30 COMP-C1 101 CX
UTENSILIO PARA O LAR,POTE MANTIMENTO CAFE
AGUA,AGUA MIN ACQUA PANNA C/GAS 505ML
CORPO,DESODORANTE REXONA AERO AQUASHIELD 150ML
PRODUTO FARMACEUTICO,PRES. BLOWTEX SKYN 3UNID
LACTICINIO,WAR - PHILADELPHIA 150G ORIGINAL CX
TIPO DE MOVEIS,ROUPEIRO MADEPLAC 4 PORTAS COM MALEIRO
SIMILAR,STILL COL 5ML ALLE FR
MATERIAL PARA CONSTRUCAO,CAP SD.KRONA 25MM 50X1 PT
ARROZ,ARROZ BENEF/POLI L/F T1 CAMIL 30X1 KG FD
ELETRODOMESTICO,REF.342L 295/47 1P F.F CRB39 BC CONSUL
BOMBONIERE,BALA FLORESTAL BRAZILIAN COFFE 500G PT
MATERIAL PARA ESCRITORIO E ESCOLAR,LAPISEIRA CIS PROF 0.5MM C/12UN
PAO,PAO ROMANA 500G FORMA SEM CASCA
PRODUTO FARMACEUTICO,ALCOOL ISOPROPILICO 1LT
LACTICINIO,ACHOC.LIQUIDO NESTLE NESCAU 200ML
MATERIAL PARA CONSTRUCAO,FITA ADESIVA 3M(50X50)
VERDURA E LEGUME,ALFACE CRESPA UND UND
PRODUTO DE HIGIENE,ENX BUCAL LISTERINE CMI500+250P ESP
SIMILAR,VERSA 40MG INJ SERINGA2
CARNE BOVINA,CARNE MOIDA BOVINA SEGUNDA DIANTEIRO KG
REFRIGERANTE,REF ANTARCTICA 2L
CORPO,HYPER MONANGE PAIXAO HID TENTADOR 200ML*
LACTICINIO,ACHOC ITALAC PO 400G
PAPEL,PAPEL CREPOM NOVAPRINT MAIS COM 48X2M AM
PRODUTO PARA ORGANIZACAO,PORTA MOEDAS WALEU
REFRIGERANTE,REFRIGERANTE GUARANA ANTARTICA 2L
PRODUTO DESCARTAVEL,COPO DESCARTAVEL FC 300ML TRANSP 20X100 CX
PRODUTO DE HIGIENE,CARGA MACH 3 SENSITIVE 4UN 102
AGUARDENTE,AGUARDENTE NEGA FULO CARV. 750ML. 585836
LIVRO,LIVRO GRAFSET PONTO 4 ASS 100FLS 10209
GENERICO,*FENOFIBRATO 200MG 30 CMP CX
VERDURA E LEGUME,BATATA DOCE KG KG
SIMILAR,SOLUCAO CLORETO DE SODIO 0,9% 100ML SF(60) (FARMA)
GENERICO,*MUPIROCINA 20MG POM 15G CRIST-GENERICO CX
PRODUTO DE HIGIENE,ESTOJO SANIFILL PESC DENTAL 103
DOCE E SOBREMESA,BOLO MARACUJA FINOPAN 500G
REFERENCIA,CEBRILIN 20MG CP/30 P/C1
CARNE BOVINA,FRIBAL CARNE RESF QUARTO DIANTEIRO
UTENSILIO PARA O LAR,GARRAFA SQUEZZE SPORT COLORIDA 500ML CX60
SUCO,SUCO MAGUARY NECTA LARANJA 200ML CX 27
ESPECIARIA,AMENDOIM JAPONES YOKI 150G
BISCOITO,RICHESTER GOLD CLASS SUP. BISC. SALG. QUEIJO 36X156 CX
ACESSORIO PARA BELEZA,PREND CAB ELASTICO COLOR 2MM 103
UTENSILIO DE LIMPEZA,RODO 30 CM
MISTURA PRONTA,MUCILON ARROZ E AVEIA SACHE UND 1 X 1 230G
AGUARDENTE,AGUARDENTE SAPUPARA MEIOTA PRATA 480ML
PRODUTO DE LIMPEZA,LAVA ROUPA ALA LAVANDA 500G CX 27
CERVEJA,CERV BRAHMA ZERO LTA 350ML CX 12
PAO,PAO RECHEADO FRANGO CALABRESA BGM KG
CARNE BOVINA,COXAO MOLE FRIBOI RESERVA PECA RESF KG
PECA INTIMA,CALCINHA COS DUPLO PRETO P.EAN :7899397855866
CAFE,CAFE STA CLARA VACUO 20X250G CX
REFERENCIA,FRESH TEARS 0 5% SOL OFT 15M 103 FR
ALIMENTO EM CONSERVA,TOMATE SECO ARCOBELLO 3KG
PRODUTO OTICO,OFTANE 15ML 101 FR
ALIMENTO CONDIMENTADO,SOPA VONO ESPINAFRE C/ QUEIJO 16GR
COMBUSTIVEL,DIESEL COMUM 1
SIMILAR,EPOCLER FLAC1 10ML|EMB: 240 CX
ALIMENTO PARA ANIMAL,RACAO PEDIGREE BISCROK JUNIOR 300G
TIPO DE MOVEIS,BOX MOLA LONG LIFE BONNEL BLACK 88X188X42 ORTOLAR
CORPO,EMODERM CREME 100G
REFERENCIA,PYLORIPAC IBP 7 CART 28 CAPS 101 CX
SIMILAR,RECONTER 10MG 30 COMP -C1 101 CX
SIMILAR,SCAFLOGIN 50MG GTS FR 15ML GLOBO
FRUTA,GENIPAPO KG
UTENSILIO PARA O LAR,COPO NADIR BAR WHISK.1800 24X1 EE
PARTE E PECA PARA VEICULO,COXIM DIANT MT UNO FIRE 01/ PALIO/SIENA/FIORINO 03/ L/D - MB-482 - 0,00% PC
REFERENCIA,BUSONID 32MCG 6ML 120 DS 103
TEMPERO,COLORAU 1KG KIMIMO PT
MATERIAL PARA ESCRITORIO E ESCOLAR,PERFURADOR GENMES P/20FL SORTIDO 9229
GENERICO,LEVONORGESTREL (HORA H UNO) C/1 COMP (MELCO)
SIMILAR,ASTRO 500MG 3 COMP-AT 102 CX
MISTURA PRONTA,B-GELATINA OETKER 30G LIMAO CX.C/30G CX
BISCOITO,BISC SALG HIT QUEIJO AGUIA 24X80G CX
MATERIAL PARA CONSTRUCAO,TINTA SPRAY UG ALUMINIO 400ML
PARTE E PECA PARA VEICULO,FAROL DE MILHA
PREPARACAO DE FRUTA,POLPA POMAR DA POLPA 400G GOIABA
SIMILAR,LIPISTAT 10MG CPD/60 CX
MATERIAL PARA CONSTRUCAO,JOELHO 100MM ESGOTO KRONA
PRODUTO DE LIMPEZA,HARPIC AROMA PLUS 25G FRUTAS CITRICAS
VESTUARIO FEMININO,CAMISETA MALHA RIBANA 04 PRETO REATIVO PC
CABELO,RELV OLEO CAP SIL QUERATINA 80ML*
MATERIAL PARA ESCRITORIO E ESCOLAR,LAPIS FABER N 2 MAX 1205 COLORS C/72UN
REFERENCIA,AVADEN 28 COMP 103 CX
FERRAGEM,EXPANDER CROSS 5/16X165MM
GENERICO,METILDOPA 250MG 30CPR (G) BIOS CX
CARNE DE AVE ,FRG CONG COXA SOBRECOXAS KG
PREPARACAO DE FRUTA,COCO RALADO DUCOCO UA 48X50G CX
PRODUTO DE HIGIENE,PAPEL HIG. FLORAL NEUTRO 30M 16X4 FD
REFERENCIA,LOTAR 5100MG 30 CAPS 103 CX
ACESSORIO PARA VEICULO,FLUIDO FR BOSCH CX C 20 UNID DOT 3 C NF: 0204032343 2264500
GENERICO,GEN CEFALEXINA 500MG 10 CAPS 105 CX
CABELO,CP TRESEMME SELAG CAP ORIG 300ML
AGUA,AGUA MINERAL CRISTALINA 510ML SEM GAS
CABELO,CO FRUCTIS* LISO ABSOLUTO 200ML
UNHAS,ESMALTE RISQUE TERRA CX C/6
PRODUTO DE LIMPEZA,ALCOOL GEL 65 ECON TRAD 12X500G
CABELO,SH NEUTRO 5LT FATTORE
SIMILAR,SAL DE FRUTA ENO GUARANA -60 ENV 5GR (GLAXO) CX
MEDICAMENTO NAO CLASSIFICADO,COLLESTRA 650MG CAPS60
MATERIAL PARA ESCRITORIO E ESCOLAR,REGUA 30CM TRANSPARENTE - WALEU
LEITE,LEITE EM PO ITAMBE INTEGRAL 10UN/1KG
FERRAGEM,CA60 GERDAU C/D 5MM T
LACTICINIO,CREAM CHEESE 3,6 KG POLENGHI
PRODUTO FARMACEUTICO,FIO DENTAL SANIFIL 50M 101
SUCO,REFRESCO EM PO WINDY ABACAXI CXT 25G
GENERICO,LORATAMED 10MG CP 1X12 (LORATADINA)
TIPO DE FOSFORO,FOSFORO FIAT LUX EXTR.LON.24X1 PT
CORPO,DESC YAMA REFIL 300G TRADICION
CAFE,CAFE SAO BRAZ A VACUO 250G
CABELO,MURIEL OLEO MINERAL V.CAPILI CERAMIDAS 80 ML
FRUTA,MA�� VERDE
MACARRAO,NISSIN TALHARIM SABOR AO SUGO 99 GRS CXA.C/50X1 UND 7891079000489 CXA
SIMILAR,BICARBONATO DE SODIO 100G POTE
CORPO,ASEPTOL LIQ E.DOCE 1L
REFRIGERANTE,REFRIG COCA COLA 600ML AM12
REFERENCIA,COMPLEXO B FR C/120ML EMS CX
MATERIAL PARA CONSTRUCAO,TRINCHA 2 300 PRETA
SIMILAR,EXIMIA FIRMALIZE SACHET/30
CABELO,VC G.MILAGROSA 10ML C/24 3X1 DI
PRODUTO FARMACEUTICO,FRALDAS SAPEKA M 8X1 PCT
FRUTA,MORANGO PETERFRUT BANDEJA
MATERIAL PARA CONSTRUCAO,LIXA MASSA GR150 A257 NORTON PC
CEREAL,GRANOLA MAE TERRA FRUTAS E MEL 250G 1
ACESSORIO ELETRONICO,ESPIA, A
PARTE E PECA PARA VEICULO,15502330000 PNEU 175/70R13 82T COMFORTLIFE 2 PC
REFRIGERANTE,REFRIG SAO GERALDO 1L CAJU
SIMILAR,MIRTAX 10MG 15 COMP 101 CX
MATERIAL PARA CONSTRUCAO,TINTA SPRAY DECOR PR BRILHANTE - COLORGIN
SIMILAR,REPOFLOR 100MG 12CAPS LEGRAN
PECA INTIMA,CUECA-66795-M PC
SIMILAR,FLAVENOS 500MG CPD60
MATERIAL PARA CONSTRUCAO,SILICONE BRASCOV.ALTA T.12X50G EE
MATERIAL PARA CONSTRUCAO,LUVA SOLD PVC 60MM KRONA PC
PRODUTO DE LIMPEZA,ALVEJANTE QBOA 1LT 3 EM 1 PLUS
PRODUTO FARMACEUTICO,AGUA OXIG. 10 VOL. 100ML (FARMA)
PRODUTO DE LIMPEZA,LIMPA VIDROS BRILUX REFIL 500ML
LACTICINIO,LTE CONDS MOCA LTA 395G 1
SIMILAR,ANLO 10MG 30 COMP 102 CX
ALIMENTO CONDIMENTADO,ARISCO MAI REG PET 500GR ARISC 500G
PRODUTO HOSPITALAR,EQUIPO MACRO FLEXIVEL 15 MICRA PLUG 1,50M GC (490725)
CORPO,SB PHEBO 90G AMAZONIAN DZ
SIMILAR,OMNIC OCAS 0 4MG 30 COMP 102 CX
LACTICINIO,CREAM CHESE LIGHT 150G POLENGHI CX/12
LACTICINIO,ACHOCOLATADO ZAELINHO UHT 27X200ML CX
MATERIAL PARA ESCRITORIO E ESCOLAR,PINCEL WBM COMPACTOR P/QDO.BCO.PT C/12UN
PRODUTO DE HIGIENE,ED INF CONDOR BAMB 1TB R.3161-3 1UN C/CP
FARINHA E AMIDO,FARINHA DE MANDIOCA KICALDO BRANCA 1KG
BISCOITO,BISC MABEL RECH C/MAIS BRIG 1X140G
GENERICO,GEN ACICLOVIR CRM 50MG 10G 101 BG
LACTICINIO,SORVETE KIBON CREME AO LEITE 2L
ACESSORIO PARA BELEZA,PINCEL PARA TINTURA ESCOBEL REF 72
PRODUTO DE HIGIENE,CRM DENTAL TANDY UVA 50G 104 BG
PRODUTO FARMACEUTICO,CUBITAN BAUNILHA 200 ML
LACTICINIO,NESCAU LATA PEQUENO 2.0 - 200GR
TIPO DE GRAO,MILHO PIPOCA PULA PULA 500GR
REFERENCIA,CATAFLAMPRO AER 60GR NOVA FR
PRODUTO DE CONFEITARIA,CHOC.PO GAROTO 200G
REFERENCIA,NASONEX SPR NAS AQUOSO 60 AT 104 CX
TIPO DE PLANTA,ALFAVACA MACO UND 1
REFERENCIA,BRONDILAT XPE PED 120ML ACHE FR
CABELO,ELSEVE CO 400ML O.EXT NUT
ESPECIARIA,AMENDOIM CROKISSIMO PIM.MEXICANA 90G
ESPECIARIA,CASTANHA DO PARA 100GR
PREPARACAO DE FRUTA,ABACAXI CALDA OLE 400G
CERVEJA,CERVEJA PILSEN BRAHMA CHOPP 350ML
SAPATO,SAPATO SINTETICO VERNIZ CRISTAL PRETO INV2015 4110264 DUMOND PARES
GENERICO,GINKOLAB 120MG 30CP (GINKGO BILOBA)
PREPARACAO DE FRUTA,POLPA DE FRUTA TANGERINA ALIPOLPA 400G PC
CABELO,5.0 CASTANHO CLARO
SIMILAR,TARGIFOR C ADU 16 COMP BG
SIMILAR,PRESS PLUS 2,5/10MG 30CAP BIOL CX
GENERICO,AAS 100MG INFANTIL CPD/30 SANOFI CX
CORPO,ASEPLYNE.LIQ E.DOCE 1L
FRUTA,TANGERINA MURKOTE KG
REFERENCIA,TICLID CPD20 CX
BOMBONIERE,BALA DELICIA SORTIDA PCT 600G
LICOR,LICOR STOCK CAFE 720ML
LEITE,ALIMENTO PO SOY+ 300G ORIGINAL PRD
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD CREDEAL CD 16M 320F A/B MMA 1UN
SIMILAR,NEPODEX POM OFTALM 3,5G +
PRODUTO FARMACEUTICO,PRES PRUDENCE CS MORANGO 3UN 101
TIPO DE FERRAMENTA,DISCO CORTE 10 SCA102/202 STILEX PC
REFERENCIA,NOVALGINA 500MG 30 COMP 101 CX
MEDICAMENTO NAO CLASSIFICADO,QUELATUS SENIOR 60 CAPS FR
CARNE BOVINA,FRALDAO BOVINO PR KG
PRODUTO DE LIMPEZA,SAPOLIO RADIUM CREMOSO 300 ML
CORPO,SAB DE ENXOFRE 90 GR (CASA ) CX
TIPO DE GRAO,CANJICA AM YOKI 500G
CORPO,AURIEN LOC HID DES CPO ILUM 200ML PC
PRODUTO PARA CONSERVACAO,INSETICIDA FORMITOL GEL 10G
CABELO,ALYNE SH PROF 5000ML ARGAN
PRODUTO DESCARTAVEL,GARFO G BCO CX C/20 PCT C/ 50 STRAWPLAST GSB-502-E
REFRIGERANTE,REFRIGERANTE KUAT 2.LT
PRODUTO DE LIMPEZA,SAPOLIO RADIUM PO 1X300G CLASSICO
UTENSILIO DE LIMPEZA,BALDE ARQPLAST 10L ALCA DE FERRO
TEMPERO,TEMPERO CASEIRO AMACIANTE 300ML 12UND CX
PRODUTO FARMACEUTICO,FRD BIGFRAL PLUS MED/9
TIPO DE MADEIRA,MADEIRA SERRADA EM VIGA MA�ARANDUBA M�
SAPATO,SAPATENIS-00909-23 PAR
REFRIGERANTE,REFR GUA ANTARCTICA ZERO 6 X 2L PC
MODA PRAIA,CALCINHA BIQUINI NUDE CAMURCA P.EAN :7891306142982
CABELO,TINT CORTON LOU MED 7.0 50G
ACESSORIO ELETRONICO,RECEPTOR HD ZAPPER SH20 PC
AGUA,AGUA M.INDAIA C/GAS PET BDJ 1 X 12 500ML
SIMILAR,RESFENOL 20 CAPS 105 CX
SANDALIA,SANDALIA DAKOTA BORGHESE PRETO 115 40 PR
PRODUTO FARMACEUTICO,LENCO UMED BEBE ERVA DOCE 50 102 PC
GENERICO,OXACILINA 500MG
MATERIAL PARA CONSTRUCAO,VERNIZ SPARLACK 3,6L
TIPO DE MADEIRA,ESPETO PARANA C100
ESPUMANTE,ESPUMANTE CASA VALDUGA ARTE BRUT 750ML
PRODUTO FARMACEUTICO,FIO DTL J.REACH ESSENCIAL MENT 100MT
FARINHA E AMIDO,FARINHA TRIGO DONA BENTA ESPECIAL 1KG
PERFUMARIA,DES LEITE COLONIA F FANTAST 103
CARNE BOVINA,LAGARTO RESFRIADO - 2 PECAS KG
CABELO,DEFRIZ HAIRFLY MODELADOR 240ML
PRODUTO DE LIMPEZA,LAVA ROUPA OLA BEBE 1L
GENERICO,GEN IBUPROFENO 50MG GTS 30ML 105 FR
BISCOITO,BISC PELAGIO WAFER MORANGO 120G CX 20
LEITE,LEITE L V BETANIA INT.12X1L CX
ALIMENTO CONDIMENTADO,AZEITE GALLO VIDRO 500ML CD
MEDICAMENTO NAO CLASSIFICADO,NOCTAL 2MG CP/20 P/B1 CX
TIPO DE MOVEIS,COLCHAO CASAL D20 DIAMOND 138X188X17 EUROSONO
ROSTO,ESTOJO MALBEC GEL APOS BARBA/SAB VS3
PREPARACAO DE CARNE,LANCHE BOVINO GOSTOSINHA KG
REFERENCIA,VICK DISP 24X5PST LIM PROC CX
REFRIGERANTE,REFRIG. SPRITE 2L PET
CABELO,TINT IMEDIA EXC PRETO 1
TIPO DE MOVEIS,ROUPEIRO MAFRA 70472 CINZA/PRETO
REFERENCIA,COMBIGAN SOL ESTERIL 5ML ALLE FR
LEITE,LEITE PO INT. ITAMBE PACOTE, 10*1KG FD
SIMILAR,ZITRONEO 600MG SUSP (AZITROMICINA)
CHINELO,SAND.HAV.BRASIL AM.CITRI.41/2 CD
MATERIAL PARA CONSTRUCAO,LUVA ROSC PVC 3/4 KRONA PC
ACUCAR,ACUCAR REFINADO UNIAO 1KG
CORPO,UL DES REXONA ROLL-ON BAMBOO 50 ML CX/12 21802
REFRIGERANTE,REFR FREVO COLA 12X250ML EB
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD.FORO.BROCHURAO JUDY 10X60 PT
PREPARACAO DE CARNE,TEXAS BURGER GRANEL. CX 2.01KG KG
MATERIAL PARA CONSTRUCAO,EXTRALATEX VERDE AGUA 18L LA
PERFUMARIA,DEO COL.AGUAS DE GELLUS LAVANDA 300ML
SIMILAR,SAL FRUTA ENO TRAD 100G 105 FR
SIMILAR,PRIMOGYNA 1MG 28 DRG 102 CX
CABELO,YE COLOR HAIR 8.4 60ML YELLOW
PRODUTO DE HIGIENE,CR.DENTAL COLGATE TRIPLA A.MENTA.OR UND 1 X 1 180G
AVIAMENTO,ELASTICO MONIQUE OPACO 5MM BRANCO.EAN :7891306370767 MT
BISCOITO,RECHEADO BIG TURMA 30X105G MORANGO CX
SIMILAR,CYLOCORT POM X 3,5G ESTERIL
PRODUTO DE CONFEITARIA,BRILHO MORANGO 4,5KG GOLDEN
MATERIAL PARA CONSTRUCAO,VERNIZ EXTRA RAPIDO INCOLOR GL
PRODUTO DE HIGIENE,KIT VIAGEM COLGATE 103 KT
MATERIAL PARA CONSTRUCAO,TRINCHA 2.1/2
PRODUTO DE HIGIENE,PAPEL HIG FLORAL C/4 30M NEUTRO FD16
